timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610139534713,3213,Page Returning 404,404,NOT FOUND,Scenario 1 1-11,text,true,,393,317,14,14,http://192.168.1.10:5005/test,3213,0,3149
1610139534883,3052,Page Returning 404,404,NOT FOUND,Scenario 1 1-14,text,true,,393,317,13,13,http://192.168.1.10:5005/test,3052,0,2974
1610139534795,3140,Page Returning 404,404,NOT FOUND,Scenario 1 1-19,text,true,,393,317,13,13,http://192.168.1.10:5005/test,3140,0,3063
1610139537847,115,Page Returning 404,404,NOT FOUND,Scenario 1 1-12,text,true,,393,317,13,13,http://192.168.1.10:5005/test,115,0,65
1610139537855,153,Page Returning 404,404,NOT FOUND,Scenario 1 1-16,text,true,,393,317,12,12,http://192.168.1.10:5005/test,153,0,58
1610139537861,147,dashboard,200,OK,Scenario 1 1-17,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,147,0,52
1610139537862,157,dashboard,200,OK,Scenario 1 1-15,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,151,0,58
1610139534891,3190,Home Page,200,OK,Scenario 1 1-21,text,true,,51151,313,12,12,http://192.168.1.10:5005/,3031,0,2966
1610139537850,296,Home Page,200,OK,Scenario 1 1-22,text,true,,51151,313,12,12,http://192.168.1.10:5005/,112,0,63
1610139537854,328,Home Page,200,OK,Scenario 1 1-23,text,true,,51151,313,12,12,http://192.168.1.10:5005/,110,0,59
1610139537859,344,Home Page,200,OK,Scenario 1 1-13,text,true,,51151,313,12,12,http://192.168.1.10:5005/,138,0,54
1610139538082,172,dashboard,200,OK,Scenario 1 1-21,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,157,0,63
1610139537892,369,Home Page,200,OK,Scenario 1 1-24,text,true,,51151,313,12,12,http://192.168.1.10:5005/,116,0,43
1610139537936,377,Home Page,200,OK,Scenario 1 1-19,text,true,,51151,313,12,12,http://192.168.1.10:5005/,118,0,60
1610139538146,167,dashboard,200,OK,Scenario 1 1-22,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,167,0,81
1610139537935,387,Home Page,200,OK,Scenario 1 1-14,text,true,,51151,313,12,12,http://192.168.1.10:5005/,115,0,61
1610139538183,148,dashboard,200,OK,Scenario 1 1-23,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,143,0,78
1610139538204,161,dashboard,200,OK,Scenario 1 1-13,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,161,0,73
1610139538255,1302,Buat Instance,200,OK,Scenario 1 1-21,text,true,,15626,321,12,12,http://192.168.1.10:5005/buatbaru,1301,0,69
1610139538314,1243,Buat Instance,200,OK,Scenario 1 1-22,text,true,,15626,321,12,12,http://192.168.1.10:5005/buatbaru,1242,0,66
1610139538314,1244,dashboard,200,OK,Scenario 1 1-19,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,1244,0,67
1610139538009,1551,Home Page,200,OK,Scenario 1 1-16,text,true,,51151,313,12,12,http://192.168.1.10:5005/,196,0,86
1610139538009,1551,Buat Instance,200,OK,Scenario 1 1-17,text,true,,15626,321,12,12,http://192.168.1.10:5005/buatbaru,1551,0,85
1610139538262,1300,dashboard,200,OK,Scenario 1 1-24,text,true,,12429,322,12,12,http://192.168.1.10:5005/dashboard,1300,0,62
1610139538020,1542,Buat Instance,200,OK,Scenario 1 1-15,text,true,,15626,321,12,12,http://192.168.1.10:5005/buatbaru,1542,0,75
1610139538366,2896,Buat Instance,200,OK,Scenario 1 1-13,text,true,,15626,321,13,13,http://192.168.1.10:5005/buatbaru,2896,0,1193
1610139538323,2941,dashboard,200,OK,Scenario 1 1-14,text,true,,12429,322,13,13,http://192.168.1.10:5005/dashboard,2941,0,1240
1610139538332,2933,Buat Instance,200,OK,Scenario 1 1-23,text,true,,15626,321,13,13,http://192.168.1.10:5005/buatbaru,2932,0,1230
1610139539553,1790,Page Returning 404,404,NOT FOUND,Scenario 1 1-20,text,true,,393,317,15,15,http://192.168.1.10:5005/test,1789,0,398
1610139539554,1789,Page Returning 404,404,NOT FOUND,Scenario 1 1-18,text,true,,393,317,15,15,http://192.168.1.10:5005/test,1789,0,397
1610139541262,85,Page Returning 404,404,NOT FOUND,Scenario 1 1-17,text,true,,393,317,15,15,http://192.168.1.10:5005/test,85,0,44
1610139541262,85,Page Returning 404,404,NOT FOUND,Scenario 1 1-21,text,true,,393,317,15,15,http://192.168.1.10:5005/test,85,0,44
1610139541263,85,Page Returning 404,404,NOT FOUND,Scenario 1 1-15,text,true,,393,317,15,15,http://192.168.1.10:5005/test,84,0,44
1610139539561,1787,dashboard,200,OK,Scenario 1 1-16,text,true,,12429,322,15,15,http://192.168.1.10:5005/dashboard,1785,0,390
1610139541264,126,Page Returning 404,404,NOT FOUND,Scenario 1 1-22,text,true,,393,317,15,15,http://192.168.1.10:5005/test,126,0,43
1610139539566,1960,Home Page,200,OK,Scenario 1 1-25,text,true,,51151,313,15,15,http://192.168.1.10:5005/,1776,0,385
1610139541269,432,Home Page,200,OK,Scenario 1 1-26,text,true,,51151,313,15,15,http://192.168.1.10:5005/,121,0,38
1610139541268,477,Home Page,200,OK,Scenario 1 1-27,text,true,,51151,313,15,15,http://192.168.1.10:5005/,125,0,39
1610139541526,247,dashboard,200,OK,Scenario 1 1-25,text,true,,12429,322,15,15,http://192.168.1.10:5005/dashboard,247,0,128
1610139539559,2244,Buat Instance,200,OK,Scenario 1 1-19,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,2115,0,392
